Broker,Quantity,Type,Symbol,Period_Range,Scraped_At
57,878,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
77,492,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
34,270,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
36,204,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
10,198,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
11,181,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
4,72,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
38,68,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
6,66,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
21,49,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
40,-66,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
39,-71,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
25,-83,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
42,-93,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
47,-100,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
16,-212,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
17,-280,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
81,-400,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
48,-412,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
3,-467,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:30:20.416763
52,10838,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
44,5587,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
33,5178,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
54,5132,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
46,5084,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
32,4880,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
94,4203,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
34,3571,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
21,3393,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
35,2448,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
60,-1500,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
91,-1550,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
45,-2622,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
51,-2729,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
65,-2772,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
28,-3729,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
59,-4058,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
26,-4810,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
39,-6134,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
71,-17089,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:30:22.358027
